date,experiment,library,antibody,concentration,sort_bin,selection,sample,experiment_type,number_cells,frac_escape,R1
220118,beta_19-26,lib1,none,0,ref,reference,beta_19-26-none-0-ref,ab_selection,,,/shared/ngs/illumina/agreaney/220124_D00300_1402_BHNKFCBCX3/Unaligned/Project_agreaney/beta_19-26_lib1_ref*R1*.fastq.gz
220118,beta_19-26,lib2,none,0,ref,reference,beta_19-26-none-0-ref,ab_selection,,,/shared/ngs/illumina/agreaney/220124_D00300_1402_BHNKFCBCX3/Unaligned/Project_agreaney/beta_19-26_lib2_ref*R1*.fastq.gz
220118,beta_19,lib1,mosaic_6848,3125,abneg,escape,beta_19-mosaic_6848-3125-abneg,ab_selection,875492,0.096,/shared/ngs/illumina/agreaney/220124_D00300_1402_BHNKFCBCX3/Unaligned/Project_agreaney/beta_19_lib1_abneg*R1*.fastq.gz
220118,beta_19,lib2,mosaic_6848,3125,abneg,escape,beta_19-mosaic_6848-3125-abneg,ab_selection,1002826,0.136,/shared/ngs/illumina/agreaney/220124_D00300_1402_BHNKFCBCX3/Unaligned/Project_agreaney/beta_19_lib2_abneg*R1*.fastq.gz
220118,beta_20,lib1,mosaic_6849,3125,abneg,escape,beta_20-mosaic_6849-3125-abneg,ab_selection,957229,0.105,/shared/ngs/illumina/agreaney/220124_D00300_1402_BHNKFCBCX3/Unaligned/Project_agreaney/beta_20_lib1_abneg*R1*.fastq.gz
220118,beta_20,lib2,mosaic_6849,3125,abneg,escape,beta_20-mosaic_6849-3125-abneg,ab_selection,1100621,0.132,/shared/ngs/illumina/agreaney/220124_D00300_1402_BHNKFCBCX3/Unaligned/Project_agreaney/beta_20_lib2_abneg*R1*.fastq.gz
220118,beta_21,lib1,mosaic_6850,3125,abneg,escape,beta_21-mosaic_6850-3125-abneg,ab_selection,862307,0.089,/shared/ngs/illumina/agreaney/220124_D00300_1402_BHNKFCBCX3/Unaligned/Project_agreaney/beta_21_lib1_abneg*R1*.fastq.gz
220118,beta_21,lib2,mosaic_6850,3125,abneg,escape,beta_21-mosaic_6850-3125-abneg,ab_selection,938801,0.105,/shared/ngs/illumina/agreaney/220124_D00300_1402_BHNKFCBCX3/Unaligned/Project_agreaney/beta_21_lib2_abneg*R1*.fastq.gz
220118,beta_22,lib1,mosaic_6851,3125,abneg,escape,beta_22-mosaic_6851-3125-abneg,ab_selection,751160,0.08,/shared/ngs/illumina/agreaney/220124_D00300_1402_BHNKFCBCX3/Unaligned/Project_agreaney/beta_22_lib1_abneg*R1*.fastq.gz
220118,beta_22,lib2,mosaic_6851,3125,abneg,escape,beta_22-mosaic_6851-3125-abneg,ab_selection,952949,0.103,/shared/ngs/illumina/agreaney/220124_D00300_1402_BHNKFCBCX3/Unaligned/Project_agreaney/beta_22_lib2_abneg*R1*.fastq.gz
220118,beta_23,lib1,mosaic_6852,3125,abneg,escape,beta_23-mosaic_6852-3125-abneg,ab_selection,896191,0.094,/shared/ngs/illumina/agreaney/220124_D00300_1402_BHNKFCBCX3/Unaligned/Project_agreaney/beta_23_lib1_abneg*R1*.fastq.gz
220118,beta_23,lib2,mosaic_6852,3125,abneg,escape,beta_23-mosaic_6852-3125-abneg,ab_selection,988504,0.107,/shared/ngs/illumina/agreaney/220124_D00300_1402_BHNKFCBCX3/Unaligned/Project_agreaney/beta_23_lib2_abneg*R1*.fastq.gz
220118,beta_24,lib1,mosaic_6853,3125,abneg,escape,beta_24-mosaic_6853-3125-abneg,ab_selection,856793,0.091,/shared/ngs/illumina/agreaney/220124_D00300_1402_BHNKFCBCX3/Unaligned/Project_agreaney/beta_24_lib1_abneg*R1*.fastq.gz
220118,beta_24,lib2,mosaic_6853,3125,abneg,escape,beta_24-mosaic_6853-3125-abneg,ab_selection,952068,0.104,/shared/ngs/illumina/agreaney/220124_D00300_1402_BHNKFCBCX3/Unaligned/Project_agreaney/beta_24_lib2_abneg*R1*.fastq.gz
220118,beta_25,lib1,homotypic_6881,7812,abneg,escape,beta_25-homotypic_6881-7812-abneg,ab_selection,973619,0.101,/shared/ngs/illumina/agreaney/220124_D00300_1402_BHNKFCBCX3/Unaligned/Project_agreaney/beta_25_lib1_abneg*R1*.fastq.gz
220118,beta_25,lib2,homotypic_6881,7812,abneg,escape,beta_25-homotypic_6881-7812-abneg,ab_selection,826391,0.086,/shared/ngs/illumina/agreaney/220124_D00300_1402_BHNKFCBCX3/Unaligned/Project_agreaney/beta_25_lib2_abneg*R1*.fastq.gz
220118,beta_26,lib1,homotypic_6883,7812,abneg,escape,beta_26-homotypic_6883-7812-abneg,ab_selection,787699,0.083,/shared/ngs/illumina/agreaney/220124_D00300_1402_BHNKFCBCX3/Unaligned/Project_agreaney/beta_26_lib1_abneg*R1*.fastq.gz
220118,beta_26,lib2,homotypic_6883,7812,abneg,escape,beta_26-homotypic_6883-7812-abneg,ab_selection,853705,0.085,/shared/ngs/illumina/agreaney/220124_D00300_1402_BHNKFCBCX3/Unaligned/Project_agreaney/beta_26_lib2_abneg*R1*.fastq.gz
220210,beta_27-34,lib1,none,0,ref,reference,beta_27-34-none-0-ref,ab_selection,,,/shared/ngs/illumina/agreaney/220218_VH00699_65_AAAW23WM5/Unaligned/Project_agreaney/beta_27-34_lib1_ref*R1*.fastq.gz
220210,beta_27-34,lib2,none,0,ref,reference,beta_27-34-none-0-ref,ab_selection,,,/shared/ngs/illumina/agreaney/220218_VH00699_65_AAAW23WM5/Unaligned/Project_agreaney/beta_27-34_lib2_ref*R1*.fastq.gz
220210,beta_27,lib1,homotypic_6880,5000,abneg,escape,beta_27-homotypic_6880-5000-abneg,ab_selection,1012281,0.113,/shared/ngs/illumina/agreaney/220218_VH00699_65_AAAW23WM5/Unaligned/Project_agreaney/beta_27_lib1_abneg*R1*.fastq.gz
220210,beta_27,lib2,homotypic_6880,5000,abneg,escape,beta_27-homotypic_6880-5000-abneg,ab_selection,768288,0.09,/shared/ngs/illumina/agreaney/220218_VH00699_65_AAAW23WM5/Unaligned/Project_agreaney/beta_27_lib2_abneg*R1*.fastq.gz
220210,beta_28,lib1,homotypic_6882,5000,abneg,escape,beta_28-homotypic_6882-5000-abneg,ab_selection,812393,0.104,/shared/ngs/illumina/agreaney/220218_VH00699_65_AAAW23WM5/Unaligned/Project_agreaney/beta_28_lib1_abneg*R1*.fastq.gz
220210,beta_28,lib2,homotypic_6882,5000,abneg,escape,beta_28-homotypic_6882-5000-abneg,ab_selection,728487,0.084,/shared/ngs/illumina/agreaney/220218_VH00699_65_AAAW23WM5/Unaligned/Project_agreaney/beta_28_lib2_abneg*R1*.fastq.gz
220210,beta_29,lib1,homotypic_6884,5000,abneg,escape,beta_29-homotypic_6884-5000-abneg,ab_selection,802387,0.099,/shared/ngs/illumina/agreaney/220218_VH00699_65_AAAW23WM5/Unaligned/Project_agreaney/beta_29_lib1_abneg*R1*.fastq.gz
220210,beta_29,lib2,homotypic_6884,5000,abneg,escape,beta_29-homotypic_6884-5000-abneg,ab_selection,638644,0.079,/shared/ngs/illumina/agreaney/220218_VH00699_65_AAAW23WM5/Unaligned/Project_agreaney/beta_29_lib2_abneg*R1*.fastq.gz
